DATElme;Official Ask LME
09/12/2020;7704,5
10/12/2020;7712
11/12/2020;7741
14/12/2020;7763
15/12/2020;7753
16/12/2020;7823
17/12/2020;7893
18/12/2020;7964
21/12/2020;7838,5
22/12/2020;7753
23/12/2020;7764,5
24/12/2020;7793
29/12/2020;7840
30/12/2020;7803,5
31/12/2020;7741,5
04/01/2021;7918,5
05/01/2021;7914
06/01/2021;8129,5
07/01/2021;8036,5
08/01/2021;8146
11/01/2021;7951,5
12/01/2021;7983
13/01/2021;7960,5
14/01/2021;8002,5
15/01/2021;7979,5
18/01/2021;7972,5
19/01/2021;7986,5
20/01/2021;8014,5
21/01/2021;8051
22/01/2021;7872
25/01/2021;7984,5
26/01/2021;7957
27/01/2021;7895
28/01/2021;7778,5
29/01/2021;7877
01/02/2021;7827
02/02/2021;7755,5
03/02/2021;7832,5
04/02/2021;7833,5
05/02/2021;7936,5
08/02/2021;8007
09/02/2021;8146,5
10/02/2021;8279,5
11/02/2021;8292
12/02/2021;8270,5
15/02/2021;8416,5
16/02/2021;8439,5
17/02/2021;8413,5
18/02/2021;8650
19/02/2021;8806,5
22/02/2021;9067,5
23/02/2021;9158
24/02/2021;9286
25/02/2021;9614,5
26/02/2021;9172,5
01/03/2021;9198
02/03/2021;9213,5
03/03/2021;9266
04/03/2021;8786,5
05/03/2021;9021,5
08/03/2021;8992,5
09/03/2021;8895
10/03/2021;8939
11/03/2021;9062,5
12/03/2021;9052,5
15/03/2021;9147,5
16/03/2021;8965,5
17/03/2021;9027
18/03/2021;9090
19/03/2021;9036
22/03/2021;9097,5
23/03/2021;9016,5
24/03/2021;9016
25/03/2021;8781
26/03/2021;8929
29/03/2021;8942,5
30/03/2021;8788,5
31/03/2021;8850,5
01/04/2021;8768
06/04/2021;8984,5
07/04/2021;8981,5
08/04/2021;9001,5
09/04/2021;8993
12/04/2021;8901
13/04/2021;8904
14/04/2021;9011
15/04/2021;9187,5
16/04/2021;9336
19/04/2021;9415
20/04/2021;9396,5
21/04/2021;9382,5
22/04/2021;9475,5
23/04/2021;9545,5
26/04/2021;9758
27/04/2021;9898,5
28/04/2021;9832,5
29/04/2021;9990
30/04/2021;9949
04/05/2021;9961
05/05/2021;9991,5
06/05/2021;10025,5
07/05/2021;10361
10/05/2021;10724,5
11/05/2021;10528
12/05/2021;10537
13/05/2021;10253,5
14/05/2021;10212
17/05/2021;10257
18/05/2021;10465
19/05/2021;10114,5
20/05/2021;10086
21/05/2021;10011
24/05/2021;9868
25/05/2021;9943
26/05/2021;9965
27/05/2021;10032,5
28/05/2021;10159,5
01/06/2021;10212,5
02/06/2021;10117,5
03/06/2021;9967
04/06/2021;9852
07/06/2021;9848
08/06/2021;9878,5
09/06/2021;9877
10/06/2021;9808,5
11/06/2021;10029
14/06/2021;9900
15/06/2021;9552,5
16/06/2021;9508
17/06/2021;9427,5
18/06/2021;9206
21/06/2021;9042,5
22/06/2021;9190,5
23/06/2021;9289,5
24/06/2021;9390,5
25/06/2021;9432,5
28/06/2021;9333,5
29/06/2021;9225,5
30/06/2021;9385
01/07/2021;9342
02/07/2021;9296,5
05/07/2021;9432
06/07/2021;9528
07/07/2021;9451,5
08/07/2021;9264,5
09/07/2021;9437,5
12/07/2021;9347
13/07/2021;9310
14/07/2021;9309
15/07/2021;9347
16/07/2021;9396,5
19/07/2021;9264,5
20/07/2021;9211
21/07/2021;9271,5
22/07/2021;9382,5
23/07/2021;9433,5
26/07/2021;9580
27/07/2021;9709
28/07/2021;9697
29/07/2021;9781
30/07/2021;9747,5
02/08/2021;9737
03/08/2021;9583,5
04/08/2021;9503
05/08/2021;9429
06/08/2021;9529,5
09/08/2021;9311,5
10/08/2021;9409,5
11/08/2021;9421
