"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"11/03/2020",21.1,21.3754,21.392,21.0142,NA,NA,"-1.28%"
"11/02/2020",21.3743,21.244,21.5002,21.2161,NA,NA,"0.96%"
"10/30/2020",21.171,21.3876,21.5001,21.169,NA,NA,"-1.01%"
"10/29/2020",21.387,21.29,21.4923,21.1333,NA,NA,"0.50%"
"10/28/2020",21.28,21.0395,21.3782,21.0037,NA,NA,"1.19%"
"10/27/2020",21.029,20.9325,21.0543,20.8244,NA,NA,"0.55%"
"10/26/2020",20.915,20.8925,21.136,20.8839,NA,NA,"0.23%"
"10/23/2020",20.868,20.96,21.0515,20.8366,NA,NA,"-0.38%"
"10/22/2020",20.948,21.109,21.2261,20.9403,NA,NA,"-0.71%"
"10/21/2020",21.098,21.1215,21.1369,20.986,NA,NA,"-0.11%"
"10/20/2020",21.1211,21.2005,21.271,21.0324,NA,NA,"-0.32%"
"10/19/2020",21.188,21.1175,21.2971,21.0448,NA,NA,"0.31%"
"10/16/2020",21.123,21.2745,21.389,21.0888,NA,NA,"-0.71%"
"10/15/2020",21.2749,21.315,21.55,21.2582,NA,NA,"-0.27%"
"10/14/2020",21.333,21.362,21.471,21.2364,NA,NA,"-0.07%"
"10/13/2020",21.347,21.241,21.4895,21.149,NA,NA,"0.57%"
"10/12/2020",21.226,21.165,21.3075,21.1268,NA,NA,"0.41%"
"10/09/2020",21.1396,21.379,21.4095,21.1169,NA,NA,"-1.09%"
"10/08/2020",21.372,21.477,21.5064,21.346,NA,NA,"-0.38%"
"10/07/2020",21.454,21.7345,21.7393,21.3542,NA,NA,"-1.23%"
"10/06/2020",21.721,21.4,21.7645,21.2492,NA,NA,"1.58%"
"10/05/2020",21.383,21.6085,21.6467,21.2988,NA,NA,"-1.05%"
"10/02/2020",21.6103,21.832,22.0688,21.5654,NA,NA,"-0.97%"
"10/01/2020",21.823,22.1065,22.14,21.7843,NA,NA,"-1.25%"
"09/30/2020",22.099,22.436,22.5645,22.025,NA,NA,"-1.62%"
"09/29/2020",22.464,22.4175,22.5479,22.1762,NA,NA,"0.31%"
"09/28/2020",22.395,22.3464,22.6589,22.1404,NA,NA,"0.25%"
"09/25/2020",22.3389,22.17,22.5646,21.9801,NA,NA,"0.87%"
"09/24/2020",22.147,22.3836,22.7016,21.9527,NA,NA,"-1.05%"
"09/23/2020",22.3812,21.74,22.4436,21.6635,NA,NA,"3.03%"
"09/22/2020",21.723,21.3625,21.7915,21.289,NA,NA,"1.77%"
"09/21/2020",21.346,21.0975,21.603,21.0491,NA,NA,"1.04%"
"09/18/2020",21.1272,20.866,21.1453,20.8382,NA,NA,"1.32%"
"09/17/2020",20.851,20.944,21.1512,20.8458,NA,NA,"-0.37%"
"09/16/2020",20.929,21.1555,21.1719,20.9214,NA,NA,"-1.01%"
"09/15/2020",21.143,21.0885,21.1721,20.9517,NA,NA,"0.33%"
"09/14/2020",21.074,21.293,21.2962,21.0387,NA,NA,"-0.90%"
"09/11/2020",21.2663,21.433,21.4592,21.2367,NA,NA,"-0.79%"
"09/10/2020",21.436,21.365,21.5007,21.2045,NA,NA,"0.39%"
"09/09/2020",21.352,21.774,21.9431,21.3365,NA,NA,"-1.88%"
"09/08/2020",21.76,21.6245,21.8797,21.5662,NA,NA,"0.65%"
"09/07/2020",21.6195,21.5326,21.6659,21.5301,NA,NA,"0.25%"
"09/04/2020",21.566,21.6495,21.7475,21.4977,NA,NA,"-0.43%"
"09/03/2020",21.66,21.726,21.8315,21.5452,NA,NA,"-0.23%"
"09/02/2020",21.71,21.7925,21.91,21.7017,NA,NA,"-0.37%"
